"","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","renta"
"333",2020,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",17099
"334",2019,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",16339
"335",2018,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",15619
"336",2017,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",15370
"337",2016,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",15098
"338",2015,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14798
"339",2014,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",15012
"340",2013,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14378
"341",2012,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14470
"342",2011,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14098
"343",2010,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14539
"344",2009,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",14280
"345",2008,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",13546
"346",2022,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",23023
"347",2021,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",22518
"348",2020,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",21961
"349",2019,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",20941
"350",2018,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",20012
"351",2017,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",19677
"352",2016,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",19322
"353",2015,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18952
"354",2014,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",19278
"355",2013,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18556
"356",2012,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18764
"357",2011,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18325
"358",2010,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18980
"359",2009,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",18591
"360",2008,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Ambos sexos",17657
"361",2022,"Renta neta media por persona","Menos de 18 años","Ambos sexos",9666
"362",2021,"Renta neta media por persona","Menos de 18 años","Ambos sexos",9120
"363",2020,"Renta neta media por persona","Menos de 18 años","Ambos sexos",9110
"364",2019,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8944
"365",2018,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8909
"366",2017,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8479
"367",2016,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8153
"368",2015,"Renta neta media por persona","Menos de 18 años","Ambos sexos",7824
"369",2014,"Renta neta media por persona","Menos de 18 años","Ambos sexos",7702
"370",2013,"Renta neta media por persona","Menos de 18 años","Ambos sexos",7710
"371",2012,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8155
"372",2011,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8259
"373",2010,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8354
"374",2009,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8468
"375",2008,"Renta neta media por persona","Menos de 18 años","Ambos sexos",8024
"376",2022,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",17350
"377",2021,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",16356
"378",2020,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",16299
"379",2019,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",15997
"380",2018,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",15948
"381",2017,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",15112
"382",2016,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",14572
"383",2015,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",13991
"384",2014,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",13791
"385",2013,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",13798
"386",2012,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",14647
"387",2011,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",14807
"388",2010,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",14959
"389",2009,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",15200
"390",2008,"Renta media por unidad de consumo","Menos de 18 años","Ambos sexos",14358
"391",2022,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",10909
"392",2021,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",10304
"393",2020,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",10284
"394",2019,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",10092
"395",2018,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",10037
"396",2017,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9552
"397",2016,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9134
"398",2015,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",8763
"399",2014,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",8641
"400",2013,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",8581
"401",2012,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9034
"402",2011,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9258
"403",2010,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9327
"404",2009,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",9307
"405",2008,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Ambos sexos",8899
"406",2022,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",19561
"407",2021,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",18458
"408",2020,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",18384
"409",2019,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",18033
"410",2018,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",17945
"411",2017,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",17006
"412",2016,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",16308
"413",2015,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",15652
"414",2014,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",15451
"415",2013,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",15339
"416",2012,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",16209
"417",2011,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",16580
"418",2010,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",16687
"419",2009,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",16690
"420",2008,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Ambos sexos",15911
"421",2022,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",13377
"422",2021,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",12487
"423",2020,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",12624
"424",2019,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11961
"425",2018,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11727
"426",2017,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11390
"427",2016,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",10948
"428",2015,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",10650
"429",2014,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",10660
"430",2013,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",10942
"431",2012,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11252
"432",2011,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11415
"433",2010,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11964
"434",2009,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",12002
"435",2008,"Renta neta media por persona","De 18 a 64 años","Ambos sexos",11428
"436",2022,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",19703
"437",2021,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",18411
"438",2020,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",18565
"439",2019,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",17666
"440",2018,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",17344
"441",2017,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",16814
"442",2016,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",16149
"443",2015,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",15706
"444",2014,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",15752
"445",2013,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",16167
"446",2012,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",16678
"447",2011,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",16997
"448",2010,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",17802
"449",2009,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",17949
"450",2008,"Renta media por unidad de consumo","De 18 a 64 años","Ambos sexos",17120
"451",2022,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",15308
"452",2021,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",14350
"453",2020,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",14436
"454",2019,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",13689
"455",2018,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",13422
"456",2017,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",13041
"457",2016,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12475
"458",2015,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12115
"459",2014,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12155
"460",2013,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12321
"461",2012,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12687
"462",2011,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12955
"463",2010,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",13522
"464",2009,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",13370
"465",2008,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Ambos sexos",12815
"466",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",22435
"467",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",21044
"468",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",21124
"469",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",20120
"470",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",19759
"471",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",19156
"472",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",18319
"473",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",17789
"474",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",17877
"475",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",18125
"476",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",18712
"477",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",19199
"478",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",20025
"479",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",19916
"480",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Ambos sexos",19131
"481",2022,"Renta neta media por persona","Total","Hombres",13180
"482",2021,"Renta neta media por persona","Total","Hombres",12358
"483",2020,"Renta neta media por persona","Total","Hombres",12433
"484",2019,"Renta neta media por persona","Total","Hombres",11768
"485",2018,"Renta neta media por persona","Total","Hombres",11549
"486",2017,"Renta neta media por persona","Total","Hombres",11153
"487",2016,"Renta neta media por persona","Total","Hombres",10766
"488",2015,"Renta neta media por persona","Total","Hombres",10479
"489",2014,"Renta neta media por persona","Total","Hombres",10469
"490",2013,"Renta neta media por persona","Total","Hombres",10576
"491",2012,"Renta neta media por persona","Total","Hombres",10879
"492",2011,"Renta neta media por persona","Total","Hombres",10957
"493",2010,"Renta neta media por persona","Total","Hombres",11374
"494",2009,"Renta neta media por persona","Total","Hombres",11561
"495",2008,"Renta neta media por persona","Total","Hombres",10910
"496",2022,"Renta media por unidad de consumo","Total","Hombres",19440
"497",2021,"Renta media por unidad de consumo","Total","Hombres",18275
"498",2020,"Renta media por unidad de consumo","Total","Hombres",18339
"499",2019,"Renta media por unidad de consumo","Total","Hombres",17449
"500",2018,"Renta media por unidad de consumo","Total","Hombres",17187
"501",2017,"Renta media por unidad de consumo","Total","Hombres",16537
"502",2016,"Renta media por unidad de consumo","Total","Hombres",15969
"503",2015,"Renta media por unidad de consumo","Total","Hombres",15491
"504",2014,"Renta media por unidad de consumo","Total","Hombres",15536
"505",2013,"Renta media por unidad de consumo","Total","Hombres",15722
"506",2012,"Renta media por unidad de consumo","Total","Hombres",16278
"507",2011,"Renta media por unidad de consumo","Total","Hombres",16494
"508",2010,"Renta media por unidad de consumo","Total","Hombres",17128
"509",2009,"Renta media por unidad de consumo","Total","Hombres",17408
"510",2008,"Renta media por unidad de consumo","Total","Hombres",16471
"511",2022,"Renta media por persona (con alquiler imputado)","Total","Hombres",15202
"512",2021,"Renta media por persona (con alquiler imputado)","Total","Hombres",14291
"513",2020,"Renta media por persona (con alquiler imputado)","Total","Hombres",14307
"514",2019,"Renta media por persona (con alquiler imputado)","Total","Hombres",13580
"515",2018,"Renta media por persona (con alquiler imputado)","Total","Hombres",13311
"516",2017,"Renta media por persona (con alquiler imputado)","Total","Hombres",12874
"517",2016,"Renta media por persona (con alquiler imputado)","Total","Hombres",12352
"518",2015,"Renta media por persona (con alquiler imputado)","Total","Hombres",12010
"519",2014,"Renta media por persona (con alquiler imputado)","Total","Hombres",12048
"520",2013,"Renta media por persona (con alquiler imputado)","Total","Hombres",11999
"521",2012,"Renta media por persona (con alquiler imputado)","Total","Hombres",12353
"522",2011,"Renta media por persona (con alquiler imputado)","Total","Hombres",12510
"523",2010,"Renta media por persona (con alquiler imputado)","Total","Hombres",12955
"524",2009,"Renta media por persona (con alquiler imputado)","Total","Hombres",12971
"525",2008,"Renta media por persona (con alquiler imputado)","Total","Hombres",12336
"526",2022,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",22284
"527",2021,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",20997
"528",2020,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",20984
"529",2019,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",20015
"530",2018,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",19688
"531",2017,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",18967
"532",2016,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",18215
"533",2015,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",17656
"534",2014,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",17763
"535",2013,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",17738
"536",2012,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",18364
"537",2011,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",18726
"538",2010,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",19393
"539",2009,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",19429
"540",2008,"Renta media por unidad de consumo (con alquiler imputado)","Total","Hombres",18530
"541",2022,"Renta neta media por persona","Menores de 16 años","Hombres",9446
"542",2021,"Renta neta media por persona","Menores de 16 años","Hombres",8932
"543",2020,"Renta neta media por persona","Menores de 16 años","Hombres",8888
"544",2019,"Renta neta media por persona","Menores de 16 años","Hombres",8938
"545",2018,"Renta neta media por persona","Menores de 16 años","Hombres",8940
"546",2017,"Renta neta media por persona","Menores de 16 años","Hombres",8358
"547",2016,"Renta neta media por persona","Menores de 16 años","Hombres",8100
"548",2015,"Renta neta media por persona","Menores de 16 años","Hombres",7713
"549",2014,"Renta neta media por persona","Menores de 16 años","Hombres",7643
"550",2013,"Renta neta media por persona","Menores de 16 años","Hombres",7593
"551",2012,"Renta neta media por persona","Menores de 16 años","Hombres",8146
"552",2011,"Renta neta media por persona","Menores de 16 años","Hombres",8325
"553",2010,"Renta neta media por persona","Menores de 16 años","Hombres",8478
"554",2009,"Renta neta media por persona","Menores de 16 años","Hombres",8574
"555",2008,"Renta neta media por persona","Menores de 16 años","Hombres",8044
"556",2022,"Renta media por unidad de consumo","Menores de 16 años","Hombres",17233
"557",2021,"Renta media por unidad de consumo","Menores de 16 años","Hombres",16260
"558",2020,"Renta media por unidad de consumo","Menores de 16 años","Hombres",16131
"559",2019,"Renta media por unidad de consumo","Menores de 16 años","Hombres",16171
"560",2018,"Renta media por unidad de consumo","Menores de 16 años","Hombres",16205
"561",2017,"Renta media por unidad de consumo","Menores de 16 años","Hombres",15096
"562",2016,"Renta media por unidad de consumo","Menores de 16 años","Hombres",14687
"563",2015,"Renta media por unidad de consumo","Menores de 16 años","Hombres",13956
"564",2014,"Renta media por unidad de consumo","Menores de 16 años","Hombres",13864
"565",2013,"Renta media por unidad de consumo","Menores de 16 años","Hombres",13774
"566",2012,"Renta media por unidad de consumo","Menores de 16 años","Hombres",14828
"567",2011,"Renta media por unidad de consumo","Menores de 16 años","Hombres",15120
"568",2010,"Renta media por unidad de consumo","Menores de 16 años","Hombres",15397
"569",2009,"Renta media por unidad de consumo","Menores de 16 años","Hombres",15578
"570",2008,"Renta media por unidad de consumo","Menores de 16 años","Hombres",14583
"571",2022,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",10655
"572",2021,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",10081
"573",2020,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",10060
"574",2019,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",10107
"575",2018,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",10075
"576",2017,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9419
"577",2016,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9064
"578",2015,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",8626
"579",2014,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",8549
"580",2013,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",8442
"581",2012,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9002
"582",2011,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9295
"583",2010,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9435
"584",2009,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",9409
"585",2008,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Hombres",8928
"586",2022,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",19420
"587",2021,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",18336
"588",2020,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",18245
"589",2019,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",18277
"590",2018,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",18242
"591",2017,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",16996
"592",2016,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",16416
"593",2015,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",15594
"594",2014,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",15488
"595",2013,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",15297
"596",2012,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",16367
"597",2011,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",16865
"598",2010,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",17121
"599",2009,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",17076
"600",2008,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Hombres",16172
"601",2022,"Renta neta media por persona","De 16 a 29 años","Hombres",11825
"602",2021,"Renta neta media por persona","De 16 a 29 años","Hombres",10967
"603",2020,"Renta neta media por persona","De 16 a 29 años","Hombres",10897
"604",2019,"Renta neta media por persona","De 16 a 29 años","Hombres",10267
"605",2018,"Renta neta media por persona","De 16 a 29 años","Hombres",10510
"606",2017,"Renta neta media por persona","De 16 a 29 años","Hombres",9813
"607",2016,"Renta neta media por persona","De 16 a 29 años","Hombres",9341
"608",2015,"Renta neta media por persona","De 16 a 29 años","Hombres",8908
"609",2014,"Renta neta media por persona","De 16 a 29 años","Hombres",8971
"610",2013,"Renta neta media por persona","De 16 a 29 años","Hombres",9472
"611",2012,"Renta neta media por persona","De 16 a 29 años","Hombres",9916
"612",2011,"Renta neta media por persona","De 16 a 29 años","Hombres",10333
"613",2010,"Renta neta media por persona","De 16 a 29 años","Hombres",10972
"614",2009,"Renta neta media por persona","De 16 a 29 años","Hombres",11181
"615",2008,"Renta neta media por persona","De 16 a 29 años","Hombres",10534
"616",2022,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",18281
"617",2021,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",16925
"618",2020,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",16792
"619",2019,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",15722
"620",2018,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",16061
"621",2017,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",14974
"622",2016,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",14391
"623",2015,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",13672
"624",2014,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",13806
"625",2013,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",14448
"626",2012,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",15087
"627",2011,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",15844
"628",2010,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",16720
"629",2009,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",17151
"630",2008,"Renta media por unidad de consumo","De 16 a 29 años","Hombres",16198
"631",2022,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",13336
"632",2021,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",12395
"633",2020,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",12288
"634",2019,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11629
"635",2018,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11881
"636",2017,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11159
"637",2016,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",10543
"638",2015,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",10090
"639",2014,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",10154
"640",2013,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",10610
"641",2012,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11055
"642",2011,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11577
"643",2010,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",12227
"644",2009,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",12285
"645",2008,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Hombres",11611
"646",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",20574
"647",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",19090
"648",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",18884
"649",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",17745
"650",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",18108
"651",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",16979
"652",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",16230
"653",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",15465
"654",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",15597
"655",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",16133
"656",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",16773
"657",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",17690
"658",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",18584
"659",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",18815
"660",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Hombres",17827
"661",2022,"Renta neta media por persona","De 30 a 44 años","Hombres",13538
"662",2021,"Renta neta media por persona","De 30 a 44 años","Hombres",12333
"663",2020,"Renta neta media por persona","De 30 a 44 años","Hombres",12726
"664",2019,"Renta neta media por persona","De 30 a 44 años","Hombres",11908
"665",2018,"Renta neta media por persona","De 30 a 44 años","Hombres",11833
"666",2017,"Renta neta media por persona","De 30 a 44 años","Hombres",11327
"667",2016,"Renta neta media por persona","De 30 a 44 años","Hombres",10868
"668",2015,"Renta neta media por persona","De 30 a 44 años","Hombres",10658
"669",2014,"Renta neta media por persona","De 30 a 44 años","Hombres",10662
"670",2013,"Renta neta media por persona","De 30 a 44 años","Hombres",10810
"671",2012,"Renta neta media por persona","De 30 a 44 años","Hombres",11276
"672",2011,"Renta neta media por persona","De 30 a 44 años","Hombres",11370
"673",2010,"Renta neta media por persona","De 30 a 44 años","Hombres",11691
"674",2009,"Renta neta media por persona","De 30 a 44 años","Hombres",12141
"675",2008,"Renta neta media por persona","De 30 a 44 años","Hombres",11489
"676",2022,"Renta media por unidad de consumo","De 30 a 44 años","Hombres",19697
